video_id,title,description,transcript,url,published_at,content_type
682da3c8b723029f5eea7e0d,She paid 8 lakhs in penalties! ft. @mallikadua,#shorts #trending #money,i had to pay some 8 lakhs in penalties so then i'm like kya aur hai kya aur hai kya aur hai and my friend told me didi i'll put you through to my ca when i went and met this proper ca that man scolded me you're shocked so books they could use that type i just kept thinking that i had hired a si and this is financial illiteracy and ignorance at its best right in school they don't teach us yeah right that you will make money you will have to pay taxes this is what you have to do whatever whatever we taught all sorts of nonsense but what is actually gonna be applicable,https://youtube.com/watch?v=682da3c8b723029f5eea7e0d,2024-06-25T15:30:13,short
682da3bfb723029f5eea7cd0,The Dark Reality Behind Retail Discounts!⚡,#shorts #finance #discount #personalfinance,this discount will actually make you pay more this shampoo bottle cost us 930 rupees which contains 650 milliliters whereas this sachet has six milliliters and costs 2 rupees if we do the math we are paying 77% more if we buy a bottle but shouldn't it be the other way around i checked it for different products like chips and it's the same case the small packet is approximately 40% cheaper per gram than the larger packet and still the larger packet says you save 10% while snacks beverages personal care and household products cost more in bigger packs essentials like groceries dairy cleaning supplies and baby products actually get cheaper when bought in bulk,https://youtube.com/watch?v=682da3bfb723029f5eea7cd0,2025-04-02T14:30:33,short
682da3ccb723029f5eea7ea7,What if you NEVER pay your credit card bill? #emi #debt #loan,,,https://youtube.com/watch?v=682da3ccb723029f5eea7ea7,2023-12-30T15:10:51,short
682da3c2b723029f5eea7d3b,The dark reality of subscriptions!!? #shorts,#shorts #trending #money,why aren't people buying printers anymore people have realized that printers are actually a trap let me explain this woman wasn't able to use a printer because they block third party inkjet cartridges which means you have to use their expensive version and in some cases we have printers which are blocking facts and scanning if the ink level is low I mean the two aren't even connected all of this is being done so you subscribe to regular usage of their ink cartridges and they make more cash if more companies end up doing this we'll pay for stuff and not even own it,https://youtube.com/watch?v=682da3c2b723029f5eea7d3b,2025-01-14T14:00:04,short
68a297bd9bbb3a83884b2c89,How a failing brand became a global icon,,"An Indian legend was about to die until one man brought it back to life and today it sells in over 50 countries. In 2000, Royal Enfield couldn't sell more than 2,000 bikes a month. Its parent company, Aisha Motors, wanted to shut it down. Then a 26-year-old Sedartha L said, ""Give me one last chance."" He shut down 13 of Aisha 15 businesses and rode thousands of kilometers across India to talk to riders. What he found? He found problems. No report showed gearboxes leaked oil, kickstarts caused leg injuries, and the cast iron engine made the bike 20 kg heavier. What he did, he rebuilt the engine using aluminium, making it lighter and cheaper. Then he turned Royal Enfield into a lifestyle brand with rider clubs and flagship",https://youtube.com/watch?v=68a297bd9bbb3a83884b2c89,2025-08-17T12:45:06,short
682da3ccb723029f5eea7e9e,Nithin Kamath answers Google’s most searched questions about him #zerodha #business,#zerodha #shorts #trending,okay so let me Nathan K's most expensive purchase H okay house does Nathan Kut own a private jet no not at all is Nan Kat an Ian no not at all I I dropped out of my engineering from a second run college is Nan K the romantic person I think but my wife doesn't does Nathan Kad gamble yeah I mean I think everything in life is a gamble uh you know he keep taking BS so I do and but but I also play poker how does Nathan Kut like to party it's evolved over times uh now it's just sitting with a bunch of friends and listening to some good music and having a tequila how much money does Nathan Kut having his bank account maybe a couple of lcks,https://youtube.com/watch?v=682da3ccb723029f5eea7e9e,2024-01-08T14:23:24,short
69797c0baea276bf99fb7f4c,THESE Indian States WIN BIG From EU-India Deal! 🤯,#europe #fta #trade #tradedeal #india #maharashtra #andhrapradesh #tamilnadu #assam #uttarpradesh #kerala #rajasthan #gujarat #punjab #shorts #shortvideo #trending,,https://youtube.com/watch?v=69797c0baea276bf99fb7f4c,2026-01-27T14:36:42,short
682da3ccb723029f5eea7eab,Why Mutual funds are buying this sector?,,"India's power sector is on fire you can imagine that India's power generation capacity right now is about 430 gaw this much is traditional and this much is renewable that means about 80% of it comes from thermal sources now to support India's growth story we'll need about 35 gaw every year which means by 2030 we'll need about 1,000 gaw so about 500 gaw will come from clean energy sources so imagine the demand for insulators Transformers C and battery storage tell me what companies you think will benefit and follow for more",https://youtube.com/watch?v=682da3ccb723029f5eea7eab,2023-12-24T13:27:28,short
682da3bfb723029f5eea7cd1,Have you tried the Ghibli Image Generator?⚡,#shorts #ghibli #chatgpt #trending,"Gibli art has taken over the internet. It's on my LinkedIn feed, Instagram pictures, basically everywhere. As Chat GPT launches new features, users add on. And this resulted in ChatGpt doubling its weekly active users in less than 6 months. And while it took Tik Tok 9 months and Instagram 18 to hit the 100 million mark, it took Chat GPT just 2 months to reach this milestone. But here comes the interesting part. While some of these users opt for ChatV GPD's paid version, Sam Ortman says they're losing money on premium service, too, as people are using it more than expected.",https://youtube.com/watch?v=682da3bfb723029f5eea7cd1,2025-04-01T15:45:01,short
682da3beb723029f5eea7c96,Buy vs Rent A House @Nikhil Kamath⚡️,#shorts #trending #india #zero1byzerodha,are you renting a house or you're buying a house okay i feel like this needs a clarification i had a house which i rented the landlord was renovating his house and he had to move back in so i had to vacate the home i bought because i could but does that make that a good financial decision i think not but if the proposition in front of me were to pay emi with 12% interest for the next thirty years of my life i wouldn't buy an apartment,https://youtube.com/watch?v=682da3beb723029f5eea7c96,2025-05-20T15:01:16,short
682da3beb723029f5eea7cbe,Real Estate RED FLAGS⚡,#shorts #finance #realestate #trending #bangalore,i'll jump straight into the deep dark secrets of real estate the first red flag and i i'm gonna get killed by my marketing team for this if you had to advertise then that means it's not selling as fast the projects that are selling generally we don't need to advertise second red flag the moment you see new new yalahanka new indranaga new somewhere else that means it's at the back of beyond and you have to go through a lot of gully ways to reach the apartment,https://youtube.com/watch?v=682da3beb723029f5eea7cbe,2025-04-14T14:00:25,short
682da3ccb723029f5eea7ea9,Dropshipping vs. eCommerce: Which is better? #money #career #shopping,,here's the difference between Drop Shipping and e-commerce in e-commerce you have a manufacturer manufacturing the product selling it on the website and then supplying it to the End customer in a Drop Shipping business you just have your own website you're not manufacturing any of this so the startup costs are lower and you supply it to the end consumer now a lot of people say that Drop Shipping can earn passive income and you can make a lot of money we talked about the process of doing that in this de influencing video check out the full video to understand how this works,https://youtube.com/watch?v=682da3ccb723029f5eea7ea9,2023-12-27T07:30:07,short
682da3c1b723029f5eea7d20,EV CARS might get CHEAPER after BUDGET 2025!!? #shorts,#trending #stockmarket #shorts #money #cars,if you're planning to buy EVS stop in the 25 budget the government has reduced taxes on lithium ion batteries because they want to support Manufacturing in India this means the cost component of lithium ion batteries will reduce but think about it in cars the most expensive part is the lithium ion battery this means EV cars could possibly become cheaper,https://youtube.com/watch?v=682da3c1b723029f5eea7d20,2025-02-01T12:30:11,short
682da3c1b723029f5eea7d02,DARK Reality of Street Food! #shorts,,"did you know this paneer is not real fake paneer is flooding the market recently a vlogger claimed to have found a black paneer inside bread pakoda sparking massive online outrage soon after the authorities raided the factory and seized 1,500 kgs of fake paneer it's made of palm oil and acetic acid both harmful to you but why is this happening you see the cost of dairy products in india is rising and last year amul increased its milk prices across all variants so if big brands like amul are feeling the heat think about the street vendors man their price sensitive customers won't even pay so they can't pass on the rising cost so they turn to cheap alternatives",https://youtube.com/watch?v=682da3c1b723029f5eea7d02,2025-02-21T14:00:31,short
682da3c6b723029f5eea7dea,"Earn Rs.20,000 in just 3 mins. Really??",,"you can earn 20,000 rupees in just 3 minutes let me show you how you should start color trading immediately you have to choose between two colors red or green and let's say you selected green so if your bet is correct then your money will double I invest all my money with the doona app simply go to the website and start your color prediction Journey now something was definitely wrong with that influencer and that game and we discovered it and found out that this is a huge scam so without further Ado let's de influence color Trading",https://youtube.com/watch?v=682da3c6b723029f5eea7dea,2024-07-29T14:30:07,short
682da3bfb723029f5eea7ccf,These cars will exit INDIA??⚡,#shorts #volkswagen #indiangovernment #finance #tax #india #indiannews,"You might not be able to buy any of these cars in future because the government just hit Volkswagen with a $1.3 billion tax bill. You see, car makers import fully assembled or ready to drive out vehicles, they face a 100% tariff. But when they import parts in CKD, the rates are close to 30 to 35%. And just importing separate parts has a tax of 10 to 15%. The government claims Volkswagen evaded taxes by mislabeling imports. their CKD kits as individual parts. Now, they are defending the case. But think about this. It had sales of $2.19 billion, out of which $1 million was net profit. So, a tax bill of $1.3 billion is crazy.",https://youtube.com/watch?v=682da3bfb723029f5eea7ccf,2025-04-03T14:30:03,short
